consumer_id,pop_up,saved_discount
53408043510,1,1
53406203511,1,0
5340590353,1,0
5338184358,1,0
53361973510,1,0
53348963512,1,0
53324103514,1,1
53318403517,1,0
53313903517,1,0
5331284351,1,1
5329755359,1,0
5327607358,1,1
5327218358,1,0
53265943511,1,1
53191903516,1,1
53129003513,1,0
5312351358,1,0
5311439359,1,0
5311170351,1,0
5310821351,1,0
5310616359,1,0
5306312352,1,1
53057733510,1,0
53056983514,1,1
53016523513,1,0
5301102356,1,1
53009453515,1,0
5298211356,1,0
5297559359,1,1
5297535351,1,0
5295944359,1,0
5294893355,1,1
5294169358,1,1
5293926356,1,1
5289998359,1,0
5288809355,1,0
52886563512,1,0
5286270358,1,1
52858773512,1,1
52857853511,1,1
52851503515,1,0
5282081353,1,0
52819613514,1,0
5281558353,1,0
5281367359,1,0
52807423510,1,0
52794493515,1,0
5278718355,1,1
5275984351,1,0
52758923516,1,1
52740793514,1,0
5273393353,1,1
5273065352,1,0
52729453517,1,1
5272655357,1,1
5270095359,1,0
52697163516,1,1
52677123510,1,0
5260676359,1,0
52605533514,1,1
5259168352,1,1
5258550357,1,0
5256761359,1,0
5254149353,1,0
52541013513,1,1
52510633510,1,0
5250868357,1,0
52495413517,1,0
5246809357,1,1
52465883516,1,0
5243143359,1,1
5243105357,1,0
52429243514,1,0
52396273515,1,0
5238910358,1,0
5238798354,1,1
52385693516,1,0
52385453515,1,0
5235568354,1,0
5235179358,1,0
52351313513,1,0
5234363353,1,1
5233342359,1,0
5230969353,1,0
52299323513,1,0
52248073514,1,0
5221387353,1,0
52196983513,1,0
52152183515,1,0
5214013359,1,0
5209514356,1,0
52047243513,1,0
5201037357,1,1
5200627359,1,0
51993273516,1,0
5198603353,1,0
51957633515,1,0
5188475352,1,0
51870583513,1,1
51826333515,1,0
51822443515,1,0
51809053515,1,0
5176977351,1,0
51751853510,1,1
51750243513,1,0
51743623510,1,0
51739073510,1,1
5168576358,1,0
51612563513,1,1
51598573511,1,0
51579763515,1,0
5157211358,1,0
5155309355,1,0
5154654358,1,0
5149162354,1,0
5148530358,1,0
5146871352,1,0
51460313515,1,0
5144495353,1,1
51408793516,1,0
51399343516,1,0
51397123510,1,0
5137053353,1,1
51341513514,1,0
51338023514,1,1
51292703514,1,0
51287613514,1,0
51153033516,1,1
5115297352,1,1
5105137353,1,1
51028083512,1,1
5101757358,1,0
5100453356,1,1
51002933514,1,1
50976473513,1,1
5095384359,1,0
50939603513,1,1
50939223516,1,0
5092383359,1,1
50913933513,1,0
5091386353,1,0
5090402352,1,1
50902803510,1,1
50891303514,1,0
50877543510,1,0
5085866352,1,0
50810593516,1,0
5078059359,1,0
5076055359,1,1
50759973515,1,1
50746553512,1,1
5074389352,1,1
50729653516,1,0
5071845352,1,0
50715243510,1,0
5071500356,1,0
5066254351,1,0
50616553510,1,0
50610683510,1,1
5059928351,1,0
50598743517,1,0
5059010357,1,0
5057252351,1,0
5056675355,1,0
50557913513,1,1
5053933353,1,0
5053544353,1,0
50528993515,1,1
5051557359,1,1
50486323513,1,0
5047550354,1,0
5047406351,1,0
5047345354,1,0
50469113516,1,0
5042104359,1,1
5040759353,1,1
5040278353,1,0
5040254359,1,0
50366153515,1,1
5031412353,1,1
50284673510,1,0
5027781356,1,0
5027521359,1,0
5024940359,1,1
5020539359,1,0
50158873517,1,0
5010028357,1,0
50093983512,1,0
5005345352,1,0
4996545357,1,1
49935203515,1,0
4993476359,1,0
49925543510,1,0
49919603516,1,0
49906283517,1,1
49892333510,1,0
49865773510,1,0
49815893516,1,1
4981305352,1,0
4980544359,1,0
4979869353,1,0
4977292359,1,1
49771313512,1,0
4975847355,1,1
4974918352,1,1
4974642353,1,0
4974512358,1,0
4968825356,1,0
49686103517,1,1
49683063516,1,0
49673613514,1,0
49670263513,1,0
4966722351,1,0
4966241359,1,0
4964506355,1,0
49643463516,1,0
49635303510,1,0
4963028352,1,1
4962861355,1,0
49621063510,1,1
4957676351,1,1
4955504352,1,0
4955139353,1,0
4954903359,1,0
49507383510,1,0
49485133513,1,0
49484903513,1,0
49453763516,1,0
49420233516,1,0
49403573516,1,0
49383923517,1,0
49346223510,1,0
